trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
GRD1,06:52:00,06:52:00,G-3749,24,,
GRD1,06:53:00,06:53:00,G-3770,25,,
GRD1,06:54:00,06:54:00,G-1811,26,,
GRD1,06:55:00,06:55:00,G-2307,27,,
GRD1,06:56:00,06:56:00,G-2323,28,,
GRD1,06:57:00,06:57:00,G-2341,29,,
GRD1,06:58:00,06:58:00,G-2357,30,,
GRD1,06:59:00,06:59:00,G-2237,31,,
GRD1,07:00:00,07:00:00,G-2141,32,,
GRD1,07:01:00,07:01:00,G-1749,33,,
GRD1,07:02:00,07:02:00,GSS,34,,
GRD1,07:03:00,07:03:00,G-1433,35,,
GRD1,07:04:00,07:04:00,G-1705,36,,
GRD1,07:05:00,07:05:00,G-3805,37,,
GRD1,07:06:00,07:06:00,G-3754,38,,
GRD1,07:08:00,07:08:00,CLINIC,39,,
GRD1,07:10:00,07:10:00,BUILDING_16,40,,
GRD1,07:13:00,07:13:00,BUILDING_14,41,,
GRD1,07:15:00,07:15:00,BUILDING_18,42,,
GYD1,06:55:00,06:55:00,TAMIMI,22,,
GYD1,06:56:00,06:56:00,G-3417,23,,
GYD1,06:57:00,06:57:00,G-3443,24,,
GYD1,06:59:00,06:59:00,G-1317,25,,
GYD1,07:00:00,07:00:00,G-1364,26,,
GYD1,07:01:00,07:01:00,G-1250,27,,
GYD1,07:02:00,07:02:00,G-1164,28,,
GYD1,07:03:00,07:03:00,G-1174,29,,
GYD1,07:04:00,07:04:00,G-2277,30,,
GYD1,07:05:00,07:05:00,G-2261,31,,
GYD1,07:06:00,07:06:00,G-2014,32,,
GYD1,07:07:00,07:07:00,G-1785,33,,
GYD1,07:08:00,07:08:00,G-1660,34,,
GYD1,07:09:00,07:09:00,G-1445,35,,
GYD1,07:10:00,07:10:00,G-1427,36,,
GYD1,07:11:00,07:11:00,G-3446,37,,
GYD1,07:12:00,07:12:00,G-3831,38,,
GYD1,07:14:00,07:14:00,CLINIC,39,,
GYD1,07:16:00,07:16:00,BUILDING_16,40,,
GYD1,07:19:00,07:19:00,BUILDING_14,41,,
GYD1,07:21:00,07:21:00,BUILDING_18,42,,
PUD1,07:00:00,07:00:00,TAMIMI,23,,
PUD1,07:02:00,07:02:00,G-3151,24,,
PUD1,07:03:00,07:03:00,G-3170,25,,
PUD1,07:04:00,07:04:00,G-3194,26,,
PUD1,07:05:00,07:05:00,G-3217,27,,
PUD1,07:06:00,07:06:00,G-1026,28,,
PUD1,07:07:00,07:07:00,G-1141,29,,
PUD1,07:08:00,07:08:00,G-1235,30,,
PUD1,07:09:00,07:09:00,GARDENS_SCHO,31,,
PUD1,07:10:00,07:10:00,G-3382,32,,
PUD1,07:11:00,07:11:00,G-3452,33,,
PUD1,07:12:00,07:12:00,G-3175,34,,
PUD1,07:13:00,07:13:00,G-3176,35,,
PUD1,07:14:00,07:14:00,G-3045,36,,
PUD1,07:15:00,07:15:00,G-3106,37,,
PUD1,07:16:00,07:16:00,BUILDING_18_1,38,,
PUD1,07:17:00,07:17:00,BUILDING_14_1,39,,
PUD1,07:19:00,07:19:00,BUILDING_16,40,,
PUD1,07:21:00,07:21:00,CLINIC,41,,
PUD1,07:23:00,07:23:00,,42,,
PUD1,07:26:00,07:26:00,,43,,
PUD1,07:28:00,07:28:00,,44,,
RED1,07:00:00,07:00:00,TAMIMI,21,,
RED1,07:02:00,07:02:00,G-3612,22,,
RED1,07:03:00,07:03:00,G-3655,23,,
RED1,07:04:00,07:04:00,G-3640,24,,
RED1,07:05:00,07:05:00,G-1616,25,,
RED1,07:06:00,07:06:00,G-1626,26,,
RED1,07:07:00,07:07:00,G-1840,27,,
RED1,07:08:00,07:08:00,G-2134,28,,
RED1,07:09:00,07:09:00,G-1881,29,,
RED1,07:10:00,07:10:00,G-1769,30,,
RED1,07:11:00,07:11:00,G-1553,31,,
RED1,07:12:00,07:12:00,GES,32,,
RED1,07:13:00,07:13:00,G-1531,33,,
RED1,07:14:00,07:14:00,G-1507,34,,
RED1,07:15:00,07:15:00,G-3522,35,,
RED1,07:16:00,07:16:00,G-3621,36,,
RED1,07:18:00,07:18:00,CLINIC,37,,
RED1,07:20:00,07:20:00,BUILDING_16,38,,
RED1,07:23:00,07:23:00,BUILDING_14_1,39,,
RED1,07:25:00,07:25:00,BUILDING_18_1,40,,
YED1,07:20:00,07:20:00,TAMIMI,11,,
YED1,07:23:00,07:23:00,BUILDING_16,12,,
YED1,07:27:00,07:27:00,CHEMICAL_WAR,13,,
YED1,07:29:00,07:29:00,CSOB,14,,
YED1,07:31:00,07:31:00,TRANSPORT_BU,15,,
YED1,07:32:00,07:32:00,CENTRAL_PROD,16,,
YED1,07:34:00,07:34:00,SECURITY_BUI,17,,
YED1,07:37:00,07:37:00,BUILDING_14,18,,
YED1,07:39:00,07:39:00,BUILDING_18,19,,
YED1,07:41:00,07:41:00,CLINIC,20,,
CAE1,07:00:00,07:00:00,TAMIMI,11,,
CAE1,07:02:00,07:02:00,CLINIC_1,12,,
CAE1,07:05:00,07:05:00,BUILDING_16,13,,
CAE1,07:08:00,07:08:00,BUILDING_14,14,,
CAE1,07:10:00,07:10:00,BUILDING_18,15,,
BLD2,07:05:00,07:05:00,TAMIMI,23,,
BLD2,07:06:00,07:06:00,HARBOR_EAST,24,,
BLD2,07:07:00,07:07:00,G-3961,25,,
BLD2,07:08:00,07:08:00,HRC,26,,
BLD2,07:09:00,07:09:00,H-4207A,27,,
BLD2,07:11:00,07:11:00,I-5231,28,,
BLD2,07:12:00,07:12:00,I-5244,29,,
BLD2,07:13:00,07:13:00,I-5318,30,,
BLD2,07:14:00,07:14:00,I-5551,31,,
BLD2,07:15:00,07:15:00,I-5567,32,,
BLD2,07:16:00,07:16:00,OASIS,33,,
BLD2,07:17:00,07:17:00,I-5748,34,,
BLD2,07:18:00,07:18:00,I-5764,35,,
BLD2,07:19:00,07:19:00,AL_MARSA,36,,
BLD2,07:20:00,07:20:00,H-4104,37,,
BLD2,07:21:00,07:21:00,H-4113A,38,,
BLD2,07:22:00,07:22:00,H-4119,39,,
BLD2,07:23:00,07:23:00,GRAND_MOSQUE,40,,
BLD2,07:25:00,07:25:00,BUILDING_18_1,41,,
BLD2,07:27:00,07:27:00,BUILDING_14_1,42,,
BLD2,07:30:00,07:30:00,BUILDING_16,43,,
BLD2,07:32:00,07:32:00,CLINIC,44,,
ORD2,07:10:00,07:10:00,TAMIMI,21,,
ORD2,07:12:00,07:12:00,HES,22,,
ORD2,07:13:00,07:13:00,I-5202,23,,
ORD2,07:14:00,07:14:00,I-5511,24,,
ORD2,07:15:00,07:15:00,I-5605,25,,
ORD2,07:17:00,07:17:00,I-522M,26,,
ORD2,07:18:00,07:18:00,I-535M,27,,
ORD2,07:19:00,07:19:00,I-548M,28,,
ORD2,07:20:00,07:20:00,IRC,29,,
ORD2,07:21:00,07:21:00,I-5716,30,,
ORD2,07:22:00,07:22:00,I-5732,31,,
ORD2,07:23:00,07:23:00,I-5630,32,,
ORD2,07:24:00,07:24:00,I-5614,33,,
ORD2,07:25:00,07:25:00,I-5529,34,,
